id,pre_tax_income,hours_worked
0,28236.114016923002,40
1,20555.171636660925,40
2,30450.09122566627,40
3,47170.07320439235,40
4,19592.915242189152,40
5,19593.07607887804,40
6,48513.937547411464,40
7,32328.91676454367,40
8,17418.05876459637,40
9,28890.844418872166,40
10,17470.88663313352,40
11,17450.701427043034,40
12,24859.14907462068,40
13,8462.161172096256,40
14,9297.874305771085,40
15,16628.215084687217,40
16,13274.291050599491,40
17,25774.05555461012,40
18,13988.45970997104,40
19,10870.936699746639,40
20,45835.96777338151,40
21,19675.153002664345,40
22,22782.86739295765,40
23,10803.505101495439,40
24,16777.74588789271,40
25,23282.593373701693,40
26,12388.2436767816,40
27,26578.26376885947,40
28,16312.397084363267,40
29,19037.25494897237,40
30,16303.689223007223,40
31,55611.15514696902,40
32,21878.318173002073,40
33,12979.734500241697,40
34,33232.12993523725,40
35,11963.051953550612,40
36,24451.13212476428,40
37,8268.140699890055,40
38,11337.906809580163,40
39,24304.835904252846,40
40,31864.037125922307,40
41,23997.000937756067,40
42,20788.92888425323,40
43,18947.895561975947,40
44,10516.9025109776,40
45,15368.540830248387,40
46,17495.17861993381,40
47,37367.667834615655,40
48,26155.352806638817,40
49,9122.324430127768,40
50,25901.13281332576,40
51,18168.75900233907,40
52,15701.93135240072,40
53,29906.709865514105,40
54,36882.769186295074,40
55,35088.89787482605,40
56,14478.082576023808,40
57,18871.22986801871,40
58,25994.277995885604,40
59,35874.160911473824,40
60,17333.786990422854,40
61,20073.794991193554,40
62,12667.97599845029,40
63,12111.330373676079,40
64,33066.06838339609,40
65,43395.8899627714,40
66,21247.50889924212,40
67,36379.708847437534,40
68,26392.047495492367,40
69,15953.605338440953,40
70,26388.875104223414,40
71,47525.33818322699,40
72,21635.41816069199,40
73,48161.817974346464,40
74,5943.939737403458,40
75,33221.45736082149,40
76,23006.30376547937,40
77,18967.766638545498,40
78,23060.590215447886,40
79,8153.605839625243,40
80,19735.297368910444,40
81,26332.423347393655,40
82,46117.46568282913,40
83,16998.236644481913,40
84,14702.211425386246,40
85,17139.165063335866,40
86,34811.429956135355,40
87,25961.64550109542,40
88,16900.86187474624,40
89,28470.783968816155,40
90,23121.975732057577,40
91,35750.60586554225,40
92,15505.862435757406,40
93,18697.945429029034,40
94,18105.04528490147,40
95,10596.113118646625,40
96,25541.5071329414,40
97,25097.60333977793,40
98,22082.853537073177,40
99,19588.666404698044,40
100,10854.278672987923,40
101,17848.54620186591,40
102,18557.74946541548,40
103,14747.979441820797,40
104,20319.92364722684,40
105,26957.731772174317,40
106,56562.01640191111,40
107,24035.54142061969,40
108,25053.65979297264,40
109,21221.647371458424,40
110,8438.960296223011,40
111,21736.38932066047,40
112,22699.88426436816,40
113,75479.85332439913,40
114,20006.64040359626,40
115,25610.908965564962,40
116,21647.475361379846,40
117,12279.186839050417,40
118,39003.684977762925,40
119,32079.30882340896,40
120,32712.61209556366,40
121,13978.927171437977,40
122,44417.87046827939,40
123,10927.900411330833,40
124,29537.8729252535,40
125,65856.13129798013,40
126,13423.092685423846,40
127,16594.907251543296,40
128,23151.75073932882,40
129,17124.443614560096,40
130,10144.310490172693,40
131,22794.657958017207,40
132,12949.962134375319,40
133,27911.559899641452,40
134,13908.951197243072,40
135,47808.905206019874,40
136,14888.931355560231,40
137,18750.37895067823,40
138,33082.463213525334,40
139,11903.262983206158,40
140,24679.543159726287,40
141,42343.549614817195,40
142,9860.166981723787,40
143,24156.697003375,40
144,25082.89445863454,40
145,32562.33189304132,40
146,11867.094068845521,40
147,11381.809401979192,40
148,28594.531802429083,40
149,25552.548509253476,40
150,24965.406988694762,40
151,26192.387779033845,40
152,15677.590879494735,40
153,24738.768043840057,40
154,25502.614024295654,40
155,15410.806929911927,40
156,55987.69735946672,40
157,27914.916330815067,40
158,12141.058493714816,40
159,30585.361903443147,40
160,13529.92482376081,40
161,32648.11181259125,40
162,39312.49905889436,40
163,14612.883364606601,40
164,35656.547323649815,40
165,27075.6604105987,40
166,33224.076238756905,40
167,56862.79224265354,40
168,19483.163123126684,40
169,15110.300126178656,40
170,14118.521348284752,40
171,14648.523985366397,40
172,21193.485915206733,40
173,26123.11901915697,40
174,25294.579421987826,40
175,33309.29028239276,40
176,22170.125112947993,40
177,45559.16266125389,40
178,19296.35666774518,40
179,85826.62768389178,40
180,30116.656623670682,40
181,14348.794659293366,40
182,12894.469158000062,40
183,28035.762536124297,40
184,19697.925553665784,40
185,31476.61748306119,40
186,27906.608743508423,40
187,21238.812044247705,40
188,14423.341935627916,40
189,10327.61224386789,40
190,17619.16526304596,40
191,33799.43607504751,40
192,24515.157337278903,40
193,11815.064049560324,40
194,24018.75981436196,40
195,26706.404642242785,40
196,14158.512069649603,40
197,23786.240279906677,40
198,22676.952044153266,40
199,12438.04066512306,40
200,26341.30925899475,40
201,29155.30786466023,40
202,37855.27524660717,40
203,37305.68571367915,40
204,11060.829983994132,40
205,13781.5701202871,40
206,28495.960905648797,40
207,28478.166229850794,40
208,28496.137853255,40
209,151201.05879679564,40
210,29303.0022418065,40
211,38862.413170518346,40
212,35489.809635914586,40
213,30506.517419491694,40
214,18814.166037065825,40
215,32192.365599770277,40
216,14966.765561772432,40
217,19566.822799152444,40
218,17280.22781631124,40
219,22946.87566667983,40
220,70075.55410650207,40
221,8659.111548176008,40
222,31043.045821855714,40
223,9834.403363877194,40
224,17396.66964386173,40
225,37967.1009211206,40
226,22745.895932814874,40
227,12850.36649637529,40
228,15403.470888391514,40
229,30939.80663613251,40
230,15287.896014761232,40
231,24544.16176080863,40
232,22534.120810231005,40
233,15901.994589117421,40
234,64342.267630532835,40
235,30241.169731996793,40
236,8001.855303174893,40
237,24178.69511837164,40
238,15821.210692297946,40
239,33732.48731972523,40
240,14820.099767591357,40
241,20798.409143244782,40
242,28353.15639067604,40
243,33957.92703143711,40
244,12086.589322296071,40
245,18634.116166006723,40
246,17370.477424213557,40
247,15888.254169172116,40
248,53248.61746524048,40
249,26970.281550650176,40
250,11725.931348086287,40
251,34854.271384993735,40
252,63645.13061251639,40
253,36909.80933271638,40
254,10304.28407158268,40
255,17289.989364743393,40
256,41500.28503852152,40
257,15462.380173663847,40
258,27499.131850211037,40
259,32445.49964579642,40
260,13856.847090404037,40
261,21380.558824702628,40
262,4356.24762783359,40
263,13197.809915715325,40
264,19413.343624362744,40
265,11802.992842527314,40
266,49821.687090680345,40
267,10774.41165847737,40
268,17676.25966943323,40
269,23514.447269111733,40
270,45280.7213911298,40
271,10743.63671075236,40
272,39402.39483596255,40
273,22139.453685572636,40
274,13483.819290288971,40
275,27751.682199293482,40
276,24331.567194655574,40
277,16315.837835807024,40
278,22808.784880176794,40
279,18166.657757479265,40
280,23312.81929576883,40
281,30670.76921791481,40
282,48679.26303765711,40
283,11861.963918079797,40
284,63992.21327285948,40
285,8299.546055982712,40
286,20416.6791768471,40
287,29559.445110213383,40
288,25349.034813276474,40
289,16133.453302102569,40
290,19849.59483994956,40
291,17214.36575768216,40
292,16404.60917411234,40
293,33684.76875716781,40
294,26331.145129559733,40
295,15576.91364202223,40
296,34537.46437406744,40
297,25684.67425300184,40
298,33071.628851494184,40
299,30176.3692215705,40
300,14552.273206774953,40
301,16645.737887413947,40
302,32004.980252457874,40
303,29887.186809038627,40
304,21797.470349228723,40
305,23357.272989263576,40
306,41724.02779229687,40
307,16386.519688269876,40
308,28956.462580774933,40
309,19908.532223696293,40
310,19754.950524472424,40
311,38154.097121059334,40
312,33279.8761839495,40
313,33082.33780858201,40
314,42308.33555154575,40
